city,country,week,year,weekly_avg,weekly_avg_max,weekly_avg_min,weekly_max,weekly_min,lat,lon,avg_precip_mm,avg_wind_kph,week-year,alpha-3
Berlin,Germany,17,2023,9.085714285714285,12.5,6.4,13.042857142857143,4.914285714285714,52.52,13.4,1.7785714285714285,18.24285714285714,17-2023,DEU
Berlin,Germany,18,2023,10.62857142857143,12.7,8.6,15.44285714285714,6.057142857142857,52.52,13.4,2.7642857142857147,18.771428571428572,18-2023,DEU
Berlin,Germany,19,2023,14.385714285714284,16.1,11.0,19.499999999999996,9.114285714285714,52.52,13.4,0.014285714285714287,21.957142857142856,19-2023,DEU
Berlin,Germany,20,2023,13.614285714285714,19.7,10.5,18.814285714285713,8.62857142857143,52.52,13.4,0.24285714285714285,19.085714285714285,20-2023,DEU
Berlin,Germany,21,2023,15.457142857142857,20.0,12.6,20.571428571428573,9.771428571428572,52.52,13.4,0.5142857142857142,17.17142857142857,21-2023,DEU
Berlin,Germany,22,2023,16.057142857142857,17.6,14.5,22.21428571428572,9.857142857142858,52.52,13.4,0.05714285714285715,16.385714285714286,22-2023,DEU
Berlin,Germany,23,2023,20.942857142857143,22.3,18.5,26.45714285714286,15.042857142857143,52.52,13.4,0.3857142857142857,16.442857142857143,23-2023,DEU
Berlin,Germany,24,2023,18.271428571428572,20.9,16.1,23.02857142857143,13.285714285714286,52.52,13.4,2.0,18.2,24-2023,DEU
Berlin,Germany,25,2023,21.900000000000002,24.6,17.2,26.7,16.842857142857145,52.52,13.4,5.778571428571429,15.471428571428573,25-2023,DEU
Berlin,Germany,26,2023,19.3,22.9,17.4,24.114285714285717,14.928571428571429,52.52,13.4,2.4928571428571433,20.157142857142855,26-2023,DEU
Berlin,Germany,27,2023,20.685714285714283,25.5,18.2,26.3,14.528571428571427,52.52,13.4,0.3285714285714286,18.88571428571429,27-2023,DEU
Berlin,Germany,28,2023,23.7,27.1,21.2,29.557142857142857,18.157142857142855,52.52,13.4,0.857142857142857,21.02857142857143,28-2023,DEU
Berlin,Germany,29,2023,19.62857142857143,22.9,17.5,24.12857142857143,15.257142857142858,52.52,13.4,0.4857142857142857,20.142857142857142,29-2023,DEU
Berlin,Germany,30,2023,18.914285714285715,21.6,17.0,23.45714285714286,14.85714285714286,52.52,13.4,6.357142857142857,21.085714285714285,30-2023,DEU
Berlin,Germany,31,2023,18.085714285714285,19.3,17.0,21.371428571428574,15.171428571428573,52.52,13.4,6.364285714285714,20.542857142857144,31-2023,DEU
Berlin,Germany,32,2023,18.22857142857143,21.9,15.0,22.91428571428571,14.071428571428571,52.52,13.4,2.4857142857142853,19.342857142857145,32-2023,DEU
Berlin,Germany,33,2023,24.157142857142862,26.2,21.5,29.27142857142857,19.514285714285716,52.52,13.4,3.342857142857143,14.385714285714286,33-2023,DEU
Berlin,Germany,34,2023,22.571428571428573,25.0,20.1,27.085714285714285,18.74285714285714,52.52,13.4,1.4142857142857141,16.05714285714286,34-2023,DEU
Berlin,Germany,35,2023,16.5,18.4,14.4,20.26666666666667,13.566666666666668,52.52,13.4,3.816666666666667,13.549999999999999,35-2023,DEU
New York,United States of America,41,2022,16.216666666666665,18.3,15.6,21.233333333333334,12.049999999999999,40.71,-74.01,2.8833333333333333,18.583333333333336,41-2022,USA
New York,United States of America,42,2022,12.342857142857142,15.7,9.0,16.27142857142857,9.114285714285714,40.71,-74.01,0.6142857142857142,19.728571428571428,42-2022,USA
New York,United States of America,43,2022,14.342857142857143,18.2,10.9,17.642857142857142,11.485714285714284,40.71,-74.01,1.8285714285714285,14.157142857142855,43-2022,USA
New York,United States of America,44,2022,16.671428571428574,19.9,14.4,21.057142857142857,13.5,40.71,-74.01,2.557142857142857,13.285714285714286,44-2022,USA
New York,United States of America,45,2022,13.614285714285714,19.4,8.8,17.485714285714284,9.542857142857143,40.71,-74.01,2.957142857142857,22.62857142857143,45-2022,USA
New York,United States of America,46,2022,4.385714285714285,7.3,1.6,7.514285714285715,2.0571428571428574,40.71,-74.01,2.2857142857142856,23.74285714285714,46-2022,USA
New York,United States of America,47,2022,6.200000000000001,8.8,1.9,11.157142857142857,2.5285714285714285,40.71,-74.01,2.0142857142857147,18.85714285714286,47-2022,USA
New York,United States of America,48,2022,6.4,10.1,3.4,9.87142857142857,2.685714285714286,40.71,-74.01,3.7714285714285714,24.0,48-2022,USA
New York,United States of America,49,2022,7.085714285714286,11.9,3.4,9.385714285714286,4.571428571428571,40.71,-74.01,3.9285714285714284,16.67142857142857,49-2022,USA
New York,United States of America,50,2022,2.314285714285714,4.4,0.9,5.328571428571429,-0.10000000000000002,40.71,-74.01,4.085714285714286,22.314285714285713,50-2022,USA
New York,United States of America,51,2022,-0.5714285714285714,4.7,-9.1,3.528571428571429,-4.771428571428571,40.71,-74.01,4.228571428571429,26.17142857142857,51-2022,USA
New York,United States of America,52,2022,2.2333333333333334,7.0,-4.0,6.75,-0.9833333333333333,40.71,-74.01,1.1666666666666667,14.083333333333334,52-2022,USA
New York,United States of America,1,2023,7.885714285714286,13.4,1.6,10.742857142857142,5.114285714285715,40.71,-74.01,3.2285714285714286,14.742857142857144,1-2023,USA
New York,United States of America,2,2023,4.000000000000001,8.8,1.0,7.457142857142856,0.8571428571428571,40.71,-74.01,2.414285714285714,20.77142857142857,2-2023,USA
